###>>>>>>>>>>>>>>>>>>>> START ./from-testssl.tsv
[-] [0x00] => 0x00,0x00 : 
[+] [0x01] => 0x00,0x01 : NULL-MD5
[+] [0x02] => 0x00,0x02 : NULL-SHA
[+] [0x03] => 0x00,0x03 : EXP-RC4-MD5
[+] [0x04] => 0x00,0x04 : RC4-MD5
[+] [0x05] => 0x00,0x05 : RC4-SHA
[+] [0x06] => 0x00,0x06 : EXP-RC2-CBC-MD5
[+] [0x07] => 0x00,0x07 : IDEA-CBC-SHA
[+] [0x08] => 0x00,0x08 : EXP-DES-CBC-SHA
[+] [0x09] => 0x00,0x09 : DES-CBC-SHA
[+] [0x0a] => 0x00,0x0A : DES-CBC3-SHA
[+] [0x0b] => 0x00,0x0B : EXP-DH-DSS-DES-CBC-SHA
[+] [0x0c] => 0x00,0x0C : DH-DSS-DES-CBC-SHA
[+] [0x0d] => 0x00,0x0D : DH-DSS-DES-CBC3-SHA
[+] [0x0e] => 0x00,0x0E : EXP-DH-RSA-DES-CBC-SHA
[+] [0x0f] => 0x00,0x0F : DH-RSA-DES-CBC-SHA
[+] [0x10] => 0x00,0x10 : DH-RSA-DES-CBC3-SHA
[+] [0x11] => 0x00,0x11 : EXP-EDH-DSS-DES-CBC-SHA
[+] [0x12] => 0x00,0x12 : EDH-DSS-DES-CBC-SHA
[+] [0x13] => 0x00,0x13 : EDH-DSS-DES-CBC3-SHA
[+] [0x14] => 0x00,0x14 : EXP-EDH-RSA-DES-CBC-SHA
[+] [0x15] => 0x00,0x15 : EDH-RSA-DES-CBC-SHA
[+] [0x16] => 0x00,0x16 : EDH-RSA-DES-CBC3-SHA
[+] [0x17] => 0x00,0x17 : EXP-ADH-RC4-MD5
[+] [0x18] => 0x00,0x18 : ADH-RC4-MD5
[+] [0x19] => 0x00,0x19 : EXP-ADH-DES-CBC-SHA
[+] [0x1a] => 0x00,0x1A : ADH-DES-CBC-SHA
[+] [0x1b] => 0x00,0x1B : ADH-DES-CBC3-SHA
[-] [0x1c] => 0x00,0x1C : 
[-] [0x1d] => 0x00,0x1D : 
[-] [0x1e] => 0x00,0x1E : 
[+] [0x1e] => 0x00,0x1E : KRB5-DES-CBC-SHA
[+] [0x1f] => 0x00,0x1F : KRB5-DES-CBC3-SHA
[+] [0x20] => 0x00,0x20 : KRB5-RC4-SHA
[+] [0x21] => 0x00,0x21 : KRB5-IDEA-CBC-SHA
[+] [0x22] => 0x00,0x22 : KRB5-DES-CBC-MD5
[+] [0x23] => 0x00,0x23 : KRB5-DES-CBC3-MD5
[+] [0x24] => 0x00,0x24 : KRB5-RC4-MD5
[+] [0x25] => 0x00,0x25 : KRB5-IDEA-CBC-MD5
[+] [0x26] => 0x00,0x26 : EXP-KRB5-DES-CBC-SHA
[+] [0x27] => 0x00,0x27 : EXP-KRB5-RC2-CBC-SHA
[+] [0x28] => 0x00,0x28 : EXP-KRB5-RC4-SHA
[+] [0x29] => 0x00,0x29 : EXP-KRB5-DES-CBC-MD5
[+] [0x2a] => 0x00,0x2A : EXP-KRB5-RC2-CBC-MD5
[+] [0x2b] => 0x00,0x2B : EXP-KRB5-RC4-MD5
[+] [0x2c] => 0x00,0x2C : PSK-NULL-SHA
[+] [0x2d] => 0x00,0x2D : DHE-PSK-NULL-SHA
[+] [0x2e] => 0x00,0x2E : RSA-PSK-NULL-SHA
[+] [0x2f] => 0x00,0x2F : AES128-SHA
[+] [0x30] => 0x00,0x30 : DH-DSS-AES128-SHA
[+] [0x31] => 0x00,0x31 : DH-RSA-AES128-SHA
[+] [0x32] => 0x00,0x32 : DHE-DSS-AES128-SHA
[+] [0x33] => 0x00,0x33 : DHE-RSA-AES128-SHA
[+] [0x34] => 0x00,0x34 : ADH-AES128-SHA
[+] [0x35] => 0x00,0x35 : AES256-SHA
[+] [0x36] => 0x00,0x36 : DH-DSS-AES256-SHA
[+] [0x37] => 0x00,0x37 : DH-RSA-AES256-SHA
[+] [0x38] => 0x00,0x38 : DHE-DSS-AES256-SHA
[+] [0x39] => 0x00,0x39 : DHE-RSA-AES256-SHA
[+] [0x3a] => 0x00,0x3A : ADH-AES256-SHA
[+] [0x3b] => 0x00,0x3B : NULL-SHA256
[+] [0x3c] => 0x00,0x3C : AES128-SHA256
[+] [0x3d] => 0x00,0x3D : AES256-SHA256
[+] [0x3e] => 0x00,0x3E : DH-DSS-AES128-SHA256
[+] [0x3f] => 0x00,0x3F : DH-RSA-AES128-SHA256
[+] [0x40] => 0x00,0x40 : DHE-DSS-AES128-SHA256
[+] [0x41] => 0x00,0x41 : CAMELLIA128-SHA
[+] [0x42] => 0x00,0x42 : DH-DSS-CAMELLIA128-SHA
[+] [0x43] => 0x00,0x43 : DH-RSA-CAMELLIA128-SHA
[+] [0x44] => 0x00,0x44 : DHE-DSS-CAMELLIA128-SHA
[+] [0x45] => 0x00,0x45 : DHE-RSA-CAMELLIA128-SHA
[+] [0x46] => 0x00,0x46 : ADH-CAMELLIA128-SHA
[+] [0x60] => 0x00,0x60 : EXP1024-RC4-MD5
!!! WARNING !!! 0x00,0x60 not found in base db.
[+] [0x61] => 0x00,0x61 : EXP1024-RC2-CBC-MD5
!!! WARNING !!! 0x00,0x61 not found in base db.
[+] [0x62] => 0x00,0x62 : EXP1024-DES-CBC-SHA
!!! WARNING !!! 0x00,0x62 not found in base db.
[+] [0x63] => 0x00,0x63 : EXP1024-DHE-DSS-DES-CBC-SHA
!!! WARNING !!! 0x00,0x63 not found in base db.
[+] [0x64] => 0x00,0x64 : EXP1024-RC4-SHA
!!! WARNING !!! 0x00,0x64 not found in base db.
[+] [0x65] => 0x00,0x65 : EXP1024-DHE-DSS-RC4-SHA
!!! WARNING !!! 0x00,0x65 not found in base db.
[+] [0x66] => 0x00,0x66 : DHE-DSS-RC4-SHA
!!! WARNING !!! 0x00,0x66 not found in base db.
[+] [0x67] => 0x00,0x67 : DHE-RSA-AES128-SHA256
[+] [0x68] => 0x00,0x68 : DH-DSS-AES256-SHA256
[+] [0x69] => 0x00,0x69 : DH-RSA-AES256-SHA256
[+] [0x6a] => 0x00,0x6A : DHE-DSS-AES256-SHA256
[+] [0x6b] => 0x00,0x6B : DHE-RSA-AES256-SHA256
[+] [0x6c] => 0x00,0x6C : ADH-AES128-SHA256
[+] [0x6d] => 0x00,0x6D : ADH-AES256-SHA256
[+] [0x80] => 0x00,0x80 : GOST94-GOST89-GOST89
!!! WARNING !!! 0x00,0x80 not found in base db.
[+] [0x81] => 0x00,0x81 : GOST2001-GOST89-GOST89
!!! WARNING !!! 0x00,0x81 not found in base db.
[+] [0x82] => 0x00,0x82 : GOST94-NULL-GOST94
!!! WARNING !!! 0x00,0x82 not found in base db.
[+] [0x83] => 0x00,0x83 : GOST2001-GOST89-GOST89
!!! WARNING !!! 0x00,0x83 not found in base db.
[+] [0x84] => 0x00,0x84 : CAMELLIA256-SHA
[+] [0x85] => 0x00,0x85 : DH-DSS-CAMELLIA256-SHA
